Date,Name,Total price,Current price
31-10-2019 16:07,'Rare Weapons Set B (The Kinugawa Crazies)',3.99,1.99
31-10-2019 16:07,'talesshop puzzle 테일즈샵퍼즐 - 당신을 기다리는 여우 OST',13.29,13.29
31-10-2019 16:07,'Love Esquire - Original Soundtrack',8.19,8.19
31-10-2019 16:07,'HEIST',15.99,15.99
31-10-2019 16:07,'探灵笔记—小明·灵调局学员装（附送29999灵币）',3.99,2.75
31-10-2019 16:07,'Fantasy Grounds - Pathfinder RPG - Core Rules Pack (PFRPG)',45.99,45.99
31-10-2019 16:07,'Monsters' Den Chronicles',4.99,3.99
31-10-2019 16:07,'Maestro: Music of Death Collector's Edition',9.99,4.99
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Ranger Vehicle Light Truck',2.39,2.39
31-10-2019 16:07,'Runefall 2',8.19,8.19
31-10-2019 16:07,'Fantasy Grounds - D&D Tales from the Yawning Portal',27.99,27.99
31-10-2019 16:07,'Rising Storm 2: Vietnam - Uncle Ho's Heroes Cosmetic DLC',6.59,6.59
31-10-2019 16:07,'Happy together - Collect All Unlocked Lin Ran Ran',3.17,1.9
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Fencer Weapon Happy Body Pillow',2.39,2.39
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Fencer Weapon Grim Reaper Shield',2.39,2.39
31-10-2019 16:07,'Yu-Gi-Oh! ARC-V: Yuya vs Crow',4.99,4.99
31-10-2019 16:07,'Project Nimbus - Original Soundtrack',7.39,7.39
31-10-2019 16:07,'DW8E: DW7 Original Costume Pack 3',17.99,17.99
31-10-2019 16:07,'DW8E: DW7 Original Costume Pack 2',17.99,17.99
31-10-2019 16:07,'Train Simulator: Settle Carlisle Specials Add-On',13.99,5.59
31-10-2019 16:07,'Train Simulator: Clear Creek Old Timer Rolling Stock Pack Add-On',19.99,9.99
31-10-2019 16:07,'Happy together - Collect All Unlocked Xia Mei',3.17,1.9
31-10-2019 16:07,'探灵笔记·古墓地宫系列：小明-探墓小队服饰（附送29999灵币）',5.99,4.13
31-10-2019 16:07,'Killjoy Hunter Yuuko',2.39,2.39
31-10-2019 16:07,'Samplitude Music Studio 2019 Steam Edition',99.0,99.0
31-10-2019 16:07,'Lornsword Winter Chronicle',24.99,24.99
31-10-2019 16:07,'Pro License Subscription',27.99,27.99
31-10-2019 16:07,"'CyberLink PowerDirector 18 Ultra - Video editing, Video editor, making videos'",99.99,99.99
31-10-2019 16:07,'LET IT DIE -Special Pack-',24.99,12.49
